composition,members,votes,dataset,lang,kind,status,missed,gold_spans
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,redact-ru,ru,pii,missing,,9230
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,redmadrobot,ru,pii,ok,115,5516
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,rubai-ru,ru,pii,missing,,3458
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,russian-pii-66k,ru,pii,ok,0,4805
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,scanpatch,ru,pii,ok,340,8708
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,secrets-issues,en,secrets,ok,3,288
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,secrets-rules,en,secrets,train,,746
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-env-configs,en,secrets,missing,,392
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-jira-comments,ru,pii,missing,,2705
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-ru-tickets,ru,pii,missing,,32099
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-secrets-en,en,secrets,missing,,581
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-secrets-ru,ru,secrets,missing,,581
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,synth-wiki-tables,ru,pii,missing,,13094
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,tab-echr,en,pii,missing,,3830
gitleaks+pplx+opf2+nvidia,gitleaks + pplx + opf-ru-v2 + gliner-nvidia,1,tonicai,en,pii,missing,,2417
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,alexen2,ru,pii,missing,,1261
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,alrosait,ru,pii,ok,0,1862
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,ameau01,en,pii,missing,,2242
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,arthur-passwords,en,secrets,missing,,280
gitleaks+pplx+opf2+nvidia+legal,gitleaks + pplx + opf-ru-v2 + gliner-nvidia + ru-legal-ner,1,corrupt-hivetrace,ru,pii,missing,,1667
