system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:kalyan-ettin,alrosait,False,addresses,875,875,25527,506,34,18,18,6985
model:kalyan-ettin,alrosait,False,names,987,987,17872,887,337,137,137,13076
model:gliner2-hivetrace-uni,alrosait,False,addresses,875,875,25527,510,254,253,253,9418
model:gliner2-hivetrace-uni,alrosait,False,names,987,987,17872,850,778,778,778,14565
model:gliner-pii-edge,alrosait,False,addresses,875,875,25527,469,185,185,185,9235
model:gliner-pii-edge,alrosait,False,names,987,987,17872,885,753,740,740,14730
model:gravitee-small,alrosait,False,addresses,875,875,25527,803,531,479,479,22201
model:gravitee-small,alrosait,False,names,987,987,17872,428,324,222,222,7439
model:gliner-pii-base,alrosait,False,addresses,875,875,25527,348,162,162,162,6099
model:gliner-pii-base,alrosait,False,names,987,987,17872,870,789,789,789,14613
model:gliner-urchade-ru,alrosait,False,addresses,875,875,25527,723,705,705,705,18862
model:gliner-urchade-ru,alrosait,False,names,987,987,17872,165,165,165,165,2735
model:gliner2-hivetrace-uni-ru,alrosait,False,addresses,875,875,25527,93,43,43,43,1103
model:gliner2-hivetrace-uni-ru,alrosait,False,names,987,987,17872,511,484,484,484,8533
model:betterleaks,alrosait,False,addresses,875,875,25527,0,0,0,0,0
model:betterleaks,alrosait,False,names,987,987,17872,0,0,0,0,0
model:gitleaks,alrosait,False,addresses,875,875,25527,0,0,0,0,0
model:gitleaks,alrosait,False,names,987,987,17872,0,0,0,0,0
model:rules-ru,alrosait,False,addresses,875,875,25527,0,0,0,0,0
model:rules-ru,alrosait,False,names,987,987,17872,0,0,0,0,0
composition:pplx,alrosait,False,addresses,875,875,25527,870,820,793,793,25267
composition:pplx,alrosait,False,names,987,987,17872,982,980,959,959,17777
composition:fastino,alrosait,False,addresses,875,875,25527,650,487,485,485,14012
composition:fastino,alrosait,False,names,987,987,17872,984,974,972,972,17747
composition:pplx+fastino,alrosait,False,addresses,875,875,25527,874,838,829,829,25397
composition:pplx+fastino,alrosait,False,names,987,987,17872,986,986,985,985,17851
composition:pplx+fastino+mmbert,alrosait,False,addresses,875,875,25527,874,838,831,831,25418
composition:pplx+fastino+mmbert,alrosait,False,names,987,987,17872,987,987,985,985,17872
composition:pplx+fastino+bardsai,alrosait,False,addresses,875,875,25527,874,842,840,840,25418
composition:pplx+fastino+bardsai,alrosait,False,names,987,987,17872,987,987,986,986,17872
composition:pplx+fastino+bardsai+mmbert,alrosait,False,addresses,875,875,25527,874,842,843,843,25424
composition:pplx+fastino+bardsai+mmbert,alrosait,False,names,987,987,17872,987,987,986,986,17872
"composition:vote2(pplx,opf2,nvidia)",alrosait,False,addresses,875,875,25527,865,733,725,725,24439
"composition:vote2(pplx,opf2,nvidia)",alrosait,False,names,987,987,17872,980,925,894,894,17222
model:pplx+cpu-int8,ameau01,False,contacts,141,141,2790,141,140,140,140,2785
model:pplx+cpu-int8,ameau01,False,accounts,131,131,1108,131,131,131,131,1108
model:pplx+cpu-int8,ameau01,False,network,777,777,13053,725,707,703,703,11779
model:pplx+cpu-int8,ameau01,False,addresses,184,184,1474,147,147,147,147,1171
model:pplx+cpu-int8,ameau01,False,names,382,382,4674,381,381,379,379,4659
model:pplx+cpu-int8,ameau01,False,logins,627,627,4692,612,612,610,610,4541
model:gliner2-hivetrace-omni,ameau01,False,contacts,141,141,2790,141,141,141,141,2790
